team,schedule_week,number_wins
DAL,1,0
DAL,2,1
DAL,3,2
DAL,4,3
DAL,5,4
DAL,6,4
DAL,7,5
DAL,8,6
DAL,9,6
DAL,10,6
DAL,11,7
DAL,12,8
DAL,13,9
DAL,14,10
DAL,15,10
DAL,16,11
DAL,17,12
DAL,18,12
PHI,1,1
PHI,2,2
PHI,3,3
PHI,4,4
PHI,5,5
PHI,6,6
PHI,7,6
PHI,8,7
PHI,9,8
PHI,10,8
PHI,11,9
PHI,12,10
PHI,13,11
PHI,14,12
PHI,15,13
PHI,16,13
PHI,17,13
PHI,18,14
NYG,1,1
NYG,2,2
NYG,3,2
NYG,4,3
NYG,5,4
NYG,6,5
NYG,7,6
NYG,8,6
NYG,9,6
NYG,10,7
NYG,11,7
NYG,12,7
NYG,13,7
NYG,14,7
NYG,15,8
NYG,16,8
NYG,17,9
NYG,18,9
WAS,1,1
WAS,2,1
WAS,3,1
WAS,4,1
WAS,5,1
WAS,6,2
WAS,7,3
WAS,8,4
WAS,9,4
WAS,10,5
WAS,11,6
WAS,12,7
WAS,13,7
WAS,14,7
WAS,15,7
WAS,16,7
WAS,17,7
WAS,18,8
