,game_id,player_id,position,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Team_abbrev,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,Total_SDP,Off_SDP,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,offense,off_pct,vis_team,home_team,vis_score,home_score,OT,game_date,cowboys_score,cowboys_win,point_difference
103,201909080dal,PresDa01,QB,Dak Prescott,DAL,25,32,405,4,0,0,0,62,158.3,4,12,0,8,0,0,0,0,0,0,0,4,36,32,4,DAL,NYG,0,0,0,1,0,0,36.4,36.4,33.4,33.4,35.4,35.4,301,2,13,1,11,1,0,0,0,0,65,96,NYG,DAL,17,35,FALSE,9/8/2019,35,win,18
720,201909150was,PresDa01,QB,Dak Prescott,DAL,26,30,269,3,1,1,8,51,123.5,5,69,0,42,0,0,0,0,0,0,1,4,36,32,4,DAL,WAS,0,0,0,0,0,0,28.66,28.66,27.66,27.66,28.66,28.66,257,1,5,2,59,10,0,0,0,0,69,100,DAL,WAS,31,21,FALSE,9/15/2019,31,win,10
887,201909220dal,PresDa01,QB,Dak Prescott,DAL,19,32,246,2,1,1,5,37,91.4,2,7,1,8,0,0,0,0,0,0,1,1,35,34,1,DAL,MIA,0,0,0,0,0,0,23.54,23.54,22.54,22.54,23.54,23.54,413,6,6,2,7,0,0,0,0,0,72,100,MIA,DAL,6,31,FALSE,9/22/2019,31,win,25
1373,201909290nor,PresDa01,QB,Dak Prescott,DAL,22,33,223,0,1,1,11,35,73.2,1,7,0,7,0,0,0,0,0,0,1,0,35,35,0,DAL,NOR,0,0,0,0,0,0,8.62,8.62,7.62,7.62,8.62,8.62,316,4,5,5,7,0,0,0,0,0,58,100,DAL,NOR,10,12,FALSE,9/29/2019,10,lose,2
1564,201910060dal,PresDa01,QB,Dak Prescott,DAL,27,44,463,2,3,3,22,53,83.8,4,27,0,14,0,0,0,0,0,0,4,0,51,51,0,DAL,GNB,0,0,0,1,0,0,29.22,29.22,23.22,23.22,28.22,28.22,470,7,4,2,14,13,3,0,0,0,71,100,GNB,DAL,34,24,FALSE,10/6/2019,24,lose,10
2026,201910130nyj,PresDa01,QB,Dak Prescott,DAL,28,40,278,0,0,1,8,23,89.4,3,11,1,8,0,0,0,0,0,0,1,2,44,42,2,DAL,NYJ,0,0,0,0,0,0,18.22,18.22,18.22,18.22,18.22,18.22,341,4,17,2,9,2,0,0,0,0,82,100,DAL,NYJ,22,24,FALSE,10/13/2019,22,lose,2
2320,201910200dal,PresDa01,QB,Dak Prescott,DAL,21,27,239,1,1,3,26,44,100.5,5,30,1,8,0,0,0,0,0,0,1,4,35,31,4,DAL,PHI,0,0,0,0,0,0,21.56,21.56,20.56,20.56,21.56,21.56,225,0,7,0,24,6,0,0,0,0,69,100,PHI,DAL,10,37,FALSE,10/20/2019,37,win,27
3179,201911040nyg,PresDa01,QB,Dak Prescott,DAL,22,35,257,3,1,0,0,45,101.7,3,12,0,11,0,0,0,0,0,0,1,2,38,36,2,DAL,NYG,0,0,0,0,0,0,22.48,22.48,21.48,21.48,22.48,22.48,360,6,11,4,9,3,0,0,0,0,69,100,DAL,NYG,37,18,FALSE,11/4/2019,37,win,19
3311,201911100dal,PresDa01,QB,Dak Prescott,DAL,28,46,397,3,1,1,4,26,101.4,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,DAL,MIN,0,0,0,1,0,0,29.88,29.88,25.88,25.88,28.88,28.88,567,8,16,4,0,0,0,0,0,0,71,100,MIN,DAL,28,24,FALSE,11/10/2019,24,lose,4
3598,201911170det,PresDa01,QB,Dak Prescott,DAL,29,46,444,3,0,1,10,49,116.6,6,18,0,9,0,0,0,0,0,0,2,4,53,49,4,DAL,DET,0,0,0,1,0,0,34.56,34.56,31.56,31.56,33.56,33.56,454,11,15,4,13,5,0,0,0,0,73,100,DAL,DET,35,27,FALSE,11/17/2019,35,win,8
4008,201911240nwe,PresDa01,QB,Dak Prescott,DAL,19,33,212,0,1,0,0,59,64.2,1,4,0,4,0,0,0,0,0,0,1,0,34,34,0,DAL,NWE,0,0,0,0,0,0,7.88,7.88,6.88,6.88,7.88,7.88,185,7,10,2,4,0,0,0,0,0,63,100,DAL,NWE,9,13,FALSE,11/24/2019,9,lose,4
4206,201911280dal,PresDa01,QB,Dak Prescott,DAL,32,49,355,2,1,4,32,35,91.8,4,25,0,10,0,0,0,0,0,1,3,1,57,56,1,DAL,BUF,1,0,0,1,0,0,27.7,27.7,22.7,22.7,25.7,25.7,331,3,14,5,5,20,2,0,0,0,76,100,BUF,DAL,26,15,FALSE,11/28/2019,15,lose,11
